Date,AvgValue,MaxValue,MinValue,Anomaly
Jan-2010,29.6,35.9,23.3,0.4
Feb-2010,33.2,38.6,27.7,2.5
Mar-2010,43.9,50.2,37.6,5.7
Apr-2010,53,61.8,44.2,5
May-2010,62.8,72,53.6,4.5
Jun-2010,70.3,78.8,61.8,2.5
Jul-2010,77.2,85.8,68.6,3.7
Aug-2010,73.4,81.4,65.4,1.5
Sep-2010,68.6,76.6,60.7,4.1
Oct-2010,55.6,63,48.2,0.9
Nov-2010,44.8,51,38.5,0.1
Dec-2010,32.7,38.7,26.6,-1.1
Jan-2011,27.6,33.6,21.6,-1.6
Feb-2011,30.5,38.8,22.2,-0.2
Mar-2011,38.9,46.3,31.5,0.7
Apr-2011,50.1,57.8,42.4,2.1
May-2011,59.2,66,52.5,0.9
Jun-2011,67.1,74.1,60.1,-0.7
Jul-2011,77.3,85.7,68.9,3.8
Aug-2011,73.9,81,66.8,2
Sep-2011,67.3,74.3,60.3,2.8
Oct-2011,57.5,64,51.1,2.8
Nov-2011,50.4,58.5,42.2,5.7
Dec-2011,40,47.6,32.4,6.2
Jan-2012,34.1,41.7,26.6,4.9
Feb-2012,37.3,44.9,29.8,6.6
Mar-2012,46.7,55.2,38.1,8.5
Apr-2012,53.1,62.3,43.9,5.1
May-2012,60.3,66.5,54,2
Jun-2012,66.7,73.8,59.7,-1.1
Jul-2012,75.3,83.4,67.3,1.8
Aug-2012,74.6,82.1,67.2,2.7
Sep-2012,64.7,71.9,57.5,0.2
Oct-2012,56.5,63.1,49.8,1.8
Nov-2012,42.1,48.1,36.1,-2.6
Dec-2012,38.4,44.3,32.5,4.6
Jan-2013,31.5,38.8,24.3,2.3
Feb-2013,31.1,36.9,25.4,0.4
Mar-2013,37.7,43.8,31.6,-0.5
Apr-2013,48.9,57.1,40.7,0.9
May-2013,58.8,67.3,50.4,0.5
Jun-2013,69.6,78,61.1,1.8
Jul-2013,77.1,84.8,69.4,3.6
Aug-2013,72.1,79.8,64.5,0.2
Sep-2013,64.7,73,56.3,0.2
Oct-2013,56.6,64.2,49.1,1.9
Nov-2013,42.7,50.7,34.8,-2
Dec-2013,33.4,40.2,26.5,-0.4
Jan-2014,27.6,35.1,20,-1.6
Feb-2014,29.1,35.7,22.4,-1.6
Mar-2014,33.5,41.7,25.4,-4.7
Apr-2014,48.1,56.1,40.1,0.1
May-2014,58.7,66.4,51,0.4
Jun-2014,68.3,76.6,60.1,0.5
Jul-2014,74.1,82.1,66,0.6
Aug-2014,70.8,78.4,63.2,-1.1
Sep-2014,66.2,74.2,58.3,1.7
Oct-2014,56.4,63,49.7,1.7
Nov-2014,42.5,49.5,35.5,-2.2
Dec-2014,38.3,43.7,32.8,4.5
Jan-2015,26.2,33.2,19.2,-3
Feb-2015,19.1,28,10.3,-11.6
Mar-2015,33.3,40.9,25.7,-4.9
Apr-2015,48,55.8,40.2,0
May-2015,62.3,73.2,51.4,4
Jun-2015,64.7,72.1,57.3,-3.1
Jul-2015,73.9,81.5,66.2,0.4
Aug-2015,74.6,82.7,66.6,2.7
Sep-2015,69.2,77.4,61,4.7
Oct-2015,54,61.4,46.6,-0.7
Nov-2015,48.6,55.9,41.3,3.9
Dec-2015,45.3,51.7,38.8,11.5
Jan-2016,32.6,39.5,25.7,3.4
Feb-2016,34.8,43.8,25.8,4.1
Mar-2016,42.5,50,35,4.3
Apr-2016,47.1,54.6,39.6,-0.9
May-2016,58.6,66.5,50.7,0.3
Jun-2016,68.4,76.8,60,0.6
Jul-2016,76.1,84.7,67.4,2.6
Aug-2016,76.4,84.7,68.1,4.5
Sep-2016,67.5,74.4,60.7,3
Oct-2016,55.3,62.4,48.2,0.6
Nov-2016,46.2,53.5,38.9,1.5